Origin,Dest,OriginCityName,DestCityName,OriginStateName,DestStateName,LatitudeDep,LongitudeDep,LatitudeArr,LongitudeArr
SBN,CLT,"South Bend, IN","Charlotte, NC",Indiana,North Carolina,41.7091,-86.3233,35.2107,-80.9457
CLT,PIA,"Charlotte, NC","Peoria, IL",North Carolina,Illinois,35.2107,-80.9457,40.6652,-89.6968
PIA,CLT,"Peoria, IL","Charlotte, NC",Illinois,North Carolina,40.6652,-89.6968,35.2107,-80.9457
HPN,DCA,"White Plains, NY","Washington, DC",New York,Virginia,41.068,-73.7083,38.8513,-77.0397
CLT,PVD,"Charlotte, NC","Providence, RI",North Carolina,Rhode Island,35.2107,-80.9457,41.7224,-71.4286
CLT,SYR,"Charlotte, NC","Syracuse, NY",North Carolina,New York,35.2107,-80.9457,43.1142,-76.1191
PVD,CLT,"Providence, RI","Charlotte, NC",Rhode Island,North Carolina,41.7224,-71.4286,35.2107,-80.9457
SYR,CLT,"Syracuse, NY","Charlotte, NC",New York,North Carolina,43.1142,-76.1191,35.2107,-80.9457
SAV,PHL,"Savannah, GA","Philadelphia, PA",Georgia,Pennsylvania,32.1242,-81.1977,39.875,-75.2352
CLT,ECP,"Charlotte, NC","Panama City, FL",North Carolina,Florida,35.2107,-80.9457,30.3599,-85.804
ECP,CLT,"Panama City, FL","Charlotte, NC",Florida,North Carolina,30.3599,-85.804,35.2107,-80.9457
CLT,OAJ,"Charlotte, NC","Jacksonville/Camp Lejeune, NC",North Carolina,North Carolina,35.2107,-80.9457,34.8268,-77.6149
CLT,CHA,"Charlotte, NC","Chattanooga, TN",North Carolina,Tennessee,35.2107,-80.9457,35.0324,-85.2017
CLT,SHV,"Charlotte, NC","Shreveport, LA",North Carolina,Louisiana,35.2107,-80.9457,32.4451,-93.8267
SHV,CLT,"Shreveport, LA","Charlotte, NC",Louisiana,North Carolina,32.4451,-93.8267,35.2107,-80.9457
CRW,CLT,"Charleston/Dunbar, WV","Charlotte, NC",West Virginia,North Carolina,38.3729,-81.5942,35.2107,-80.9457
BTV,DCA,"Burlington, VT","Washington, DC",Vermont,Virginia,44.4729,-73.1515,38.8513,-77.0397
DCA,BTV,"Washington, DC","Burlington, VT",Virginia,Vermont,38.8513,-77.0397,44.4729,-73.1515
GRR,DCA,"Grand Rapids, MI","Washington, DC",Michigan,Virginia,42.8766,-85.5363,38.8513,-77.0397
CLT,ORF,"Charlotte, NC","Norfolk, VA",North Carolina,Virginia,35.2107,-80.9457,36.8947,-76.2023
ORF,CLT,"Norfolk, VA","Charlotte, NC",Virginia,North Carolina,36.8947,-76.2023,35.2107,-80.9457
DCA,TYS,"Washington, DC","Knoxville, TN",Virginia,Tennessee,38.8513,-77.0397,35.8096,-83.9989
TYS,DCA,"Knoxville, TN","Washington, DC",Tennessee,Virginia,35.8096,-83.9989,38.8513,-77.0397
ROC,DCA,"Rochester, NY","Washington, DC",New York,Virginia,43.1162,-77.6727,38.8513,-77.0397
STL,PHL,"St. Louis, MO","Philadelphia, PA",Missouri,Pennsylvania,38.7496,-90.3705,39.875,-75.2352
ALB,CLT,"Albany, NY","Charlotte, NC",New York,North Carolina,42.748,-73.7986,35.2107,-80.9457
CLT,ALB,"Charlotte, NC","Albany, NY",North Carolina,New York,35.2107,-80.9457,42.748,-73.7986
ROC,CLT,"Rochester, NY","Charlotte, NC",New York,North Carolina,43.1162,-77.6727,35.2107,-80.9457
BUF,CLT,"Buffalo, NY","Charlotte, NC",New York,North Carolina,42.9402,-78.7308,35.2107,-80.9457
CVG,PHL,"Cincinnati, OH","Philadelphia, PA",Kentucky,Pennsylvania,39.0499,-84.6652,39.875,-75.2352
MSY,DCA,"New Orleans, LA","Washington, DC",Louisiana,Virginia,29.9942,-90.2643,38.8513,-77.0397
BGR,DCA,"Bangor, ME","Washington, DC",Maine,Virginia,44.8073,-68.8194,38.8513,-77.0397
BNA,DCA,"Nashville, TN","Washington, DC",Tennessee,Virginia,36.1196,-86.6831,38.8513,-77.0397
DCA,ILM,"Washington, DC","Wilmington, NC",Virginia,North Carolina,38.8513,-77.0397,34.2735,-77.9095
CLT,GNV,"Charlotte, NC","Gainesville, FL",North Carolina,Florida,35.2107,-80.9457,29.6923,-82.276
JAX,DCA,"Jacksonville, FL","Washington, DC",Florida,Virginia,30.3322,-81.6557,38.8513,-77.0397
CLT,AVP,"Charlotte, NC","Scranton/Wilkes-Barre, PA",North Carolina,Pennsylvania,35.2107,-80.9457,41.3371,-75.7226
DCA,ROC,"Washington, DC","Rochester, NY",Virginia,New York,38.8513,-77.0397,43.1162,-77.6727
PNS,DCA,"Pensacola, FL","Washington, DC",Florida,Virginia,30.4726,-87.1881,38.8513,-77.0397
BNA,RDU,"Nashville, TN","Raleigh/Durham, NC",Tennessee,North Carolina,36.1196,-86.6831,35.8804,-78.7872
CHO,CLT,"Charlottesville, VA","Charlotte, NC",Virginia,North Carolina,38.141,-78.4505,35.2107,-80.9457
ATL,DCA,"Atlanta, GA","Washington, DC",Georgia,Virginia,33.6374,-84.4298,38.8513,-77.0397
CSG,CLT,"Columbus, GA","Charlotte, NC",Georgia,North Carolina,32.5166,-84.942,35.2107,-80.9457
DCA,ATL,"Washington, DC","Atlanta, GA",Virginia,Georgia,38.8513,-77.0397,33.6374,-84.4298
BHM,CLT,"Birmingham, AL","Charlotte, NC",Alabama,North Carolina,33.5635,-86.7515,35.2107,-80.9457
CLT,BHM,"Charlotte, NC","Birmingham, AL",North Carolina,Alabama,35.2107,-80.9457,33.5635,-86.7515
CLT,PNS,"Charlotte, NC","Pensacola, FL",North Carolina,Florida,35.2107,-80.9457,30.4726,-87.1881
CVG,DCA,"Cincinnati, OH","Washington, DC",Kentucky,Virginia,39.0499,-84.6652,38.8513,-77.0397
DCA,CVG,"Washington, DC","Cincinnati, OH",Virginia,Kentucky,38.8513,-77.0397,39.0499,-84.6652
CLT,HPN,"Charlotte, NC","White Plains, NY",North Carolina,New York,35.2107,-80.9457,41.068,-73.7083
HPN,CLT,"White Plains, NY","Charlotte, NC",New York,North Carolina,41.068,-73.7083,35.2107,-80.9457
RDU,BNA,"Raleigh/Durham, NC","Nashville, TN",North Carolina,Tennessee,35.8804,-78.7872,36.1196,-86.6831
DCA,ALB,"Washington, DC","Albany, NY",Virginia,New York,38.8513,-77.0397,42.748,-73.7986
CLT,TLH,"Charlotte, NC","Tallahassee, FL",North Carolina,Florida,35.2107,-80.9457,30.3978,-84.3591
TYS,CLT,"Knoxville, TN","Charlotte, NC",Tennessee,North Carolina,35.8096,-83.9989,35.2107,-80.9457
DCA,MCI,"Washington, DC","Kansas City, MO",Virginia,Missouri,38.8513,-77.0397,39.3022,-94.7208
PHL,GSP,"Philadelphia, PA","Greer, SC",Pennsylvania,South Carolina,39.875,-75.2352,34.8954,-82.2172
PIT,CLT,"Pittsburgh, PA","Charlotte, NC",Pennsylvania,North Carolina,40.4918,-80.237,35.2107,-80.9457
SDF,CLT,"Louisville, KY","Charlotte, NC",Kentucky,North Carolina,38.1717,-85.7354,35.2107,-80.9457
CLT,ROC,"Charlotte, NC","Rochester, NY",North Carolina,New York,35.2107,-80.9457,43.1162,-77.6727
DCA,ORF,"Washington, DC","Norfolk, VA",Virginia,Virginia,38.8513,-77.0397,36.8947,-76.2023
ORF,DCA,"Norfolk, VA","Washington, DC",Virginia,Virginia,36.8947,-76.2023,38.8513,-77.0397
AVL,PHL,"Asheville, NC","Philadelphia, PA",North Carolina,Pennsylvania,35.4364,-82.5409,39.875,-75.2352
PHL,AVL,"Philadelphia, PA","Asheville, NC",Pennsylvania,North Carolina,39.875,-75.2352,35.4364,-82.5409
PNS,CLT,"Pensacola, FL","Charlotte, NC",Florida,North Carolina,30.4726,-87.1881,35.2107,-80.9457
DCA,MHT,"Washington, DC","Manchester, NH",Virginia,New Hampshire,38.8513,-77.0397,42.9307,-71.4388
DCA,SAV,"Washington, DC","Savannah, GA",Virginia,Georgia,38.8513,-77.0397,32.1242,-81.1977
SAV,DCA,"Savannah, GA","Washington, DC",Georgia,Virginia,32.1242,-81.1977,38.8513,-77.0397
DCA,STL,"Washington, DC","St. Louis, MO",Virginia,Missouri,38.8513,-77.0397,38.7496,-90.3705
STL,DCA,"St. Louis, MO","Washington, DC",Missouri,Virginia,38.7496,-90.3705,38.8513,-77.0397
MEM,DCA,"Memphis, TN","Washington, DC",Tennessee,Virginia,35.0463,-89.9769,38.8513,-77.0397
DCA,BDL,"Washington, DC","Hartford, CT",Virginia,Connecticut,38.8513,-77.0397,41.9406,-72.685
SYR,DCA,"Syracuse, NY","Washington, DC",New York,Virginia,43.1142,-76.1191,38.8513,-77.0397
CMH,PHL,"Columbus, OH","Philadelphia, PA",Ohio,Pennsylvania,39.9971,-82.893,39.875,-75.2352
CLT,FNT,"Charlotte, NC","Flint, MI",North Carolina,Michigan,35.2107,-80.9457,42.9606,-83.7457
FNT,CLT,"Flint, MI","Charlotte, NC",Michigan,North Carolina,42.9606,-83.7457,35.2107,-80.9457
ILM,DCA,"Wilmington, NC","Washington, DC",North Carolina,Virginia,34.2735,-77.9095,38.8513,-77.0397
DCA,MEM,"Washington, DC","Memphis, TN",Virginia,Tennessee,38.8513,-77.0397,35.0463,-89.9769
DAB,PHL,"Daytona Beach, FL","Philadelphia, PA",Florida,Pennsylvania,29.1816,-81.0543,39.875,-75.2352
PHL,DAB,"Philadelphia, PA","Daytona Beach, FL",Pennsylvania,Florida,39.875,-75.2352,29.1816,-81.0543
DCA,MSY,"Washington, DC","New Orleans, LA",Virginia,Louisiana,38.8513,-77.0397,29.9942,-90.2643
PHL,MCI,"Philadelphia, PA","Kansas City, MO",Pennsylvania,Missouri,39.875,-75.2352,39.3022,-94.7208
CLT,MHT,"Charlotte, NC","Manchester, NH",North Carolina,New Hampshire,35.2107,-80.9457,42.9307,-71.4388
MHT,CLT,"Manchester, NH","Charlotte, NC",New Hampshire,North Carolina,42.9307,-71.4388,35.2107,-80.9457
CLT,CHO,"Charlotte, NC","Charlottesville, VA",North Carolina,Virginia,35.2107,-80.9457,38.141,-78.4505
DCA,PVD,"Washington, DC","Providence, RI",Virginia,Rhode Island,38.8513,-77.0397,41.7224,-71.4286
DCA,CLT,"Washington, DC","Charlotte, NC",Virginia,North Carolina,38.8513,-77.0397,35.2107,-80.9457
PHL,PVD,"Philadelphia, PA","Providence, RI",Pennsylvania,Rhode Island,39.875,-75.2352,41.7224,-71.4286
BNA,CLT,"Nashville, TN","Charlotte, NC",Tennessee,North Carolina,36.1196,-86.6831,35.2107,-80.9457
DCA,CHS,"Washington, DC","Charleston, SC",Virginia,South Carolina,38.8513,-77.0397,32.9004,-80.0514
CLT,GSO,"Charlotte, NC","Greensboro/High Point, NC",North Carolina,North Carolina,35.2107,-80.9457,36.1021,-79.9446
GSO,CLT,"Greensboro/High Point, NC","Charlotte, NC",North Carolina,North Carolina,36.1021,-79.9446,35.2107,-80.9457
CLT,AVL,"Charlotte, NC","Asheville, NC",North Carolina,North Carolina,35.2107,-80.9457,35.4364,-82.5409
DCA,SDF,"Washington, DC","Louisville, KY",Virginia,Kentucky,38.8513,-77.0397,38.1717,-85.7354
SDF,DCA,"Louisville, KY","Washington, DC",Kentucky,Virginia,38.1717,-85.7354,38.8513,-77.0397
DCA,BUF,"Washington, DC","Buffalo, NY",Virginia,New York,38.8513,-77.0397,42.9402,-78.7308
CLT,BUF,"Charlotte, NC","Buffalo, NY",North Carolina,New York,35.2107,-80.9457,42.9402,-78.7308
PHL,PWM,"Philadelphia, PA","Portland, ME",Pennsylvania,Maine,39.875,-75.2352,43.6462,-70.3144
PWM,PHL,"Portland, ME","Philadelphia, PA",Maine,Pennsylvania,43.6462,-70.3144,39.875,-75.2352
BUF,DCA,"Buffalo, NY","Washington, DC",New York,Virginia,42.9402,-78.7308,38.8513,-77.0397
PHL,CMH,"Philadelphia, PA","Columbus, OH",Pennsylvania,Ohio,39.875,-75.2352,39.9971,-82.893
OAJ,CLT,"Jacksonville/Camp Lejeune, NC","Charlotte, NC",North Carolina,North Carolina,34.8268,-77.6149,35.2107,-80.9457
MDT,CLT,"Harrisburg, PA","Charlotte, NC",Pennsylvania,North Carolina,40.1932,-76.7529,35.2107,-80.9457
RIC,CLT,"Richmond, VA","Charlotte, NC",Virginia,North Carolina,37.507,-77.3215,35.2107,-80.9457
CLT,AGS,"Charlotte, NC","Augusta, GA",North Carolina,Georgia,35.2107,-80.9457,33.3723,-81.9651
BWI,CLT,"Baltimore, MD","Charlotte, NC",Maryland,North Carolina,39.1747,-76.6708,35.2107,-80.9457
CLT,BWI,"Charlotte, NC","Baltimore, MD",North Carolina,Maryland,35.2107,-80.9457,39.1747,-76.6708
CLT,SDF,"Charlotte, NC","Louisville, KY",North Carolina,Kentucky,35.2107,-80.9457,38.1717,-85.7354
CLT,CMH,"Charlotte, NC","Columbus, OH",North Carolina,Ohio,35.2107,-80.9457,39.9971,-82.893
CMH,CLT,"Columbus, OH","Charlotte, NC",Ohio,North Carolina,39.9971,-82.893,35.2107,-80.9457
CHS,PHL,"Charleston, SC","Philadelphia, PA",South Carolina,Pennsylvania,32.9004,-80.0514,39.875,-75.2352
CLT,STL,"Charlotte, NC","St. Louis, MO",North Carolina,Missouri,35.2107,-80.9457,38.7496,-90.3705
PHL,CHS,"Philadelphia, PA","Charleston, SC",Pennsylvania,South Carolina,39.875,-75.2352,32.9004,-80.0514
CLT,MLB,"Charlotte, NC","Melbourne, FL",North Carolina,Florida,35.2107,-80.9457,28.1017,-80.6482
MLB,CLT,"Melbourne, FL","Charlotte, NC",Florida,North Carolina,28.1017,-80.6482,35.2107,-80.9457
AVL,CLT,"Asheville, NC","Charlotte, NC",North Carolina,North Carolina,35.4364,-82.5409,35.2107,-80.9457
ALB,DCA,"Albany, NY","Washington, DC",New York,Virginia,42.748,-73.7986,38.8513,-77.0397
DCA,BNA,"Washington, DC","Nashville, TN",Virginia,Tennessee,38.8513,-77.0397,36.1196,-86.6831
PHL,ORF,"Philadelphia, PA","Norfolk, VA",Pennsylvania,Virginia,39.875,-75.2352,36.8947,-76.2023
GSP,PHL,"Greer, SC","Philadelphia, PA",South Carolina,Pennsylvania,34.8954,-82.2172,39.875,-75.2352
CAK,CLT,"Akron, OH","Charlotte, NC",Ohio,North Carolina,40.9152,-81.4399,35.2107,-80.9457
CLT,BNA,"Charlotte, NC","Nashville, TN",North Carolina,Tennessee,35.2107,-80.9457,36.1196,-86.6831
MCI,PHL,"Kansas City, MO","Philadelphia, PA",Missouri,Pennsylvania,39.3022,-94.7208,39.875,-75.2352
SAV,CLT,"Savannah, GA","Charlotte, NC",Georgia,North Carolina,32.1242,-81.1977,35.2107,-80.9457
CLT,SAV,"Charlotte, NC","Savannah, GA",North Carolina,Georgia,35.2107,-80.9457,32.1242,-81.1977
ABE,CLT,"Allentown/Bethlehem/Easton, PA","Charlotte, NC",Pennsylvania,North Carolina,40.6511,-75.4422,35.2107,-80.9457
CLT,ABE,"Charlotte, NC","Allentown/Bethlehem/Easton, PA",North Carolina,Pennsylvania,35.2107,-80.9457,40.6511,-75.4422
BNA,PHL,"Nashville, TN","Philadelphia, PA",Tennessee,Pennsylvania,36.1196,-86.6831,39.875,-75.2352
PVD,DCA,"Providence, RI","Washington, DC",Rhode Island,Virginia,41.7224,-71.4286,38.8513,-77.0397
MKE,CLT,"Milwaukee, WI","Charlotte, NC",Wisconsin,North Carolina,42.9465,-87.8973,35.2107,-80.9457
JAX,CLT,"Jacksonville, FL","Charlotte, NC",Florida,North Carolina,30.3322,-81.6557,35.2107,-80.9457
AVL,DCA,"Asheville, NC","Washington, DC",North Carolina,Virginia,35.4364,-82.5409,38.8513,-77.0397
DCA,AVL,"Washington, DC","Asheville, NC",Virginia,North Carolina,38.8513,-77.0397,35.4364,-82.5409
CLT,CAK,"Charlotte, NC","Akron, OH",North Carolina,Ohio,35.2107,-80.9457,40.9152,-81.4399
JAX,PHL,"Jacksonville, FL","Philadelphia, PA",Florida,Pennsylvania,30.3322,-81.6557,39.875,-75.2352
CLT,MKE,"Charlotte, NC","Milwaukee, WI",North Carolina,Wisconsin,35.2107,-80.9457,42.9465,-87.8973
SDF,PHL,"Louisville, KY","Philadelphia, PA",Kentucky,Pennsylvania,38.1717,-85.7354,39.875,-75.2352
ORF,PHL,"Norfolk, VA","Philadelphia, PA",Virginia,Pennsylvania,36.8947,-76.2023,39.875,-75.2352
CHA,DCA,"Chattanooga, TN","Washington, DC",Tennessee,Virginia,35.0324,-85.2017,38.8513,-77.0397
CLT,TUL,"Charlotte, NC","Tulsa, OK",North Carolina,Oklahoma,35.2107,-80.9457,36.201,-95.8868
TUL,CLT,"Tulsa, OK","Charlotte, NC",Oklahoma,North Carolina,36.201,-95.8868,35.2107,-80.9457
CHA,CLT,"Chattanooga, TN","Charlotte, NC",Tennessee,North Carolina,35.0324,-85.2017,35.2107,-80.9457
CLT,SRQ,"Charlotte, NC","Sarasota/Bradenton, FL",North Carolina,Florida,35.2107,-80.9457,27.396,-82.5541
SRQ,CLT,"Sarasota/Bradenton, FL","Charlotte, NC",Florida,North Carolina,27.396,-82.5541,35.2107,-80.9457
CLT,CAE,"Charlotte, NC","Columbia, SC",North Carolina,South Carolina,35.2107,-80.9457,33.9389,-81.114
CHS,CLT,"Charleston, SC","Charlotte, NC",South Carolina,North Carolina,32.9004,-80.0514,35.2107,-80.9457
DCA,PWM,"Washington, DC","Portland, ME",Virginia,Maine,38.8513,-77.0397,43.6462,-70.3144
PWM,DCA,"Portland, ME","Washington, DC",Maine,Virginia,43.6462,-70.3144,38.8513,-77.0397
CLT,TYS,"Charlotte, NC","Knoxville, TN",North Carolina,Tennessee,35.2107,-80.9457,35.8096,-83.9989
DCA,JAX,"Washington, DC","Jacksonville, FL",Virginia,Florida,38.8513,-77.0397,30.3322,-81.6557
PVD,PHL,"Providence, RI","Philadelphia, PA",Rhode Island,Pennsylvania,41.7224,-71.4286,39.875,-75.2352
CLT,GPT,"Charlotte, NC","Gulfport/Biloxi, MS",North Carolina,Mississippi,35.2107,-80.9457,30.4071,-89.0714
TLH,CLT,"Tallahassee, FL","Charlotte, NC",Florida,North Carolina,30.3978,-84.3591,35.2107,-80.9457
CHS,DCA,"Charleston, SC","Washington, DC",South Carolina,Virginia,32.9004,-80.0514,38.8513,-77.0397
GPT,CLT,"Gulfport/Biloxi, MS","Charlotte, NC",Mississippi,North Carolina,30.4071,-89.0714,35.2107,-80.9457
CLT,MOB,"Charlotte, NC","Mobile, AL",North Carolina,Alabama,35.2107,-80.9457,30.6927,-88.2413
MOB,CLT,"Mobile, AL","Charlotte, NC",Alabama,North Carolina,30.6927,-88.2413,35.2107,-80.9457
CLT,CVG,"Charlotte, NC","Cincinnati, OH",North Carolina,Kentucky,35.2107,-80.9457,39.0499,-84.6652
CVG,CLT,"Cincinnati, OH","Charlotte, NC",Kentucky,North Carolina,39.0499,-84.6652,35.2107,-80.9457
DCA,PNS,"Washington, DC","Pensacola, FL",Virginia,Florida,38.8513,-77.0397,30.4726,-87.1881
DCA,PHL,"Washington, DC","Philadelphia, PA",Virginia,Pennsylvania,38.8513,-77.0397,39.875,-75.2352
DAY,CLT,"Dayton, OH","Charlotte, NC",Ohio,North Carolina,39.9053,-84.2202,35.2107,-80.9457
CLT,FAY,"Charlotte, NC","Fayetteville, NC",North Carolina,North Carolina,35.2107,-80.9457,34.9921,-78.8842
BUF,PHL,"Buffalo, NY","Philadelphia, PA",New York,Pennsylvania,42.9402,-78.7308,39.875,-75.2352
DCA,BHM,"Washington, DC","Birmingham, AL",Virginia,Alabama,38.8513,-77.0397,33.5635,-86.7515
BHM,DCA,"Birmingham, AL","Washington, DC",Alabama,Virginia,33.5635,-86.7515,38.8513,-77.0397
CLT,DCA,"Charlotte, NC","Washington, DC",North Carolina,Virginia,35.2107,-80.9457,38.8513,-77.0397
CLT,LEX,"Charlotte, NC","Lexington, KY",North Carolina,Kentucky,35.2107,-80.9457,38.0348,-84.6049
LEX,CLT,"Lexington, KY","Charlotte, NC",Kentucky,North Carolina,38.0348,-84.6049,35.2107,-80.9457
PHL,PNS,"Philadelphia, PA","Pensacola, FL",Pennsylvania,Florida,39.875,-75.2352,30.4726,-87.1881
PNS,PHL,"Pensacola, FL","Philadelphia, PA",Florida,Pennsylvania,30.4726,-87.1881,39.875,-75.2352
FAY,CLT,"Fayetteville, NC","Charlotte, NC",North Carolina,North Carolina,34.9921,-78.8842,35.2107,-80.9457
PHL,BUF,"Philadelphia, PA","Buffalo, NY",Pennsylvania,New York,39.875,-75.2352,42.9402,-78.7308
CLT,TVC,"Charlotte, NC","Traverse City, MI",North Carolina,Michigan,35.2107,-80.9457,44.7417,-85.5803
PHL,ROC,"Philadelphia, PA","Rochester, NY",Pennsylvania,New York,39.875,-75.2352,43.1162,-77.6727
TVC,CLT,"Traverse City, MI","Charlotte, NC",Michigan,North Carolina,44.7417,-85.5803,35.2107,-80.9457
CLT,HSV,"Charlotte, NC","Huntsville, AL",North Carolina,Alabama,35.2107,-80.9457,34.637,-86.7638
HSV,CLT,"Huntsville, AL","Charlotte, NC",Alabama,North Carolina,34.637,-86.7638,35.2107,-80.9457
CLT,IAD,"Charlotte, NC","Washington, DC",North Carolina,Virginia,35.2107,-80.9457,38.9523,-77.4535
IAD,CLT,"Washington, DC","Charlotte, NC",Virginia,North Carolina,38.9523,-77.4535,35.2107,-80.9457
PHL,CVG,"Philadelphia, PA","Cincinnati, OH",Pennsylvania,Kentucky,39.875,-75.2352,39.0499,-84.6652
BGR,CLT,"Bangor, ME","Charlotte, NC",Maine,North Carolina,44.8073,-68.8194,35.2107,-80.9457
CLT,BGR,"Charlotte, NC","Bangor, ME",North Carolina,Maine,35.2107,-80.9457,44.8073,-68.8194
ROC,PHL,"Rochester, NY","Philadelphia, PA",New York,Pennsylvania,43.1162,-77.6727,39.875,-75.2352
CLT,CID,"Charlotte, NC","Cedar Rapids/Iowa City, IA",North Carolina,Iowa,35.2107,-80.9457,41.8853,-91.7147
PHL,JAX,"Philadelphia, PA","Jacksonville, FL",Pennsylvania,Florida,39.875,-75.2352,30.3322,-81.6557
DCA,TLH,"Washington, DC","Tallahassee, FL",Virginia,Florida,38.8513,-77.0397,30.3978,-84.3591
PHL,SAV,"Philadelphia, PA","Savannah, GA",Pennsylvania,Georgia,39.875,-75.2352,32.1242,-81.1977
CAE,CLT,"Columbia, SC","Charlotte, NC",South Carolina,North Carolina,33.9389,-81.114,35.2107,-80.9457
MYR,CLT,"Myrtle Beach, SC","Charlotte, NC",South Carolina,North Carolina,33.6806,-78.9291,35.2107,-80.9457
CAE,DCA,"Columbia, SC","Washington, DC",South Carolina,Virginia,33.9389,-81.114,38.8513,-77.0397
DCA,HSV,"Washington, DC","Huntsville, AL",Virginia,Alabama,38.8513,-77.0397,34.637,-86.7638
HSV,DCA,"Huntsville, AL","Washington, DC",Alabama,Virginia,34.637,-86.7638,38.8513,-77.0397
DCA,GSP,"Washington, DC","Greer, SC",Virginia,South Carolina,38.8513,-77.0397,34.8954,-82.2172
BTR,CLT,"Baton Rouge, LA","Charlotte, NC",Louisiana,North Carolina,30.532,-91.1504,35.2107,-80.9457
BTV,CLT,"Burlington, VT","Charlotte, NC",Vermont,North Carolina,44.4729,-73.1515,35.2107,-80.9457
SYR,PHL,"Syracuse, NY","Philadelphia, PA",New York,Pennsylvania,43.1142,-76.1191,39.875,-75.2352
BHM,PHL,"Birmingham, AL","Philadelphia, PA",Alabama,Pennsylvania,33.5635,-86.7515,39.875,-75.2352
CLT,BTV,"Charlotte, NC","Burlington, VT",North Carolina,Vermont,35.2107,-80.9457,44.4729,-73.1515
STL,CLT,"St. Louis, MO","Charlotte, NC",Missouri,North Carolina,38.7496,-90.3705,35.2107,-80.9457
TYS,PHL,"Knoxville, TN","Philadelphia, PA",Tennessee,Pennsylvania,35.8096,-83.9989,39.875,-75.2352
BDL,PHL,"Hartford, CT","Philadelphia, PA",Connecticut,Pennsylvania,41.9406,-72.685,39.875,-75.2352
PHL,ALB,"Philadelphia, PA","Albany, NY",Pennsylvania,New York,39.875,-75.2352,42.748,-73.7986
PHL,BDL,"Philadelphia, PA","Hartford, CT",Pennsylvania,Connecticut,39.875,-75.2352,41.9406,-72.685
CLT,GSP,"Charlotte, NC","Greer, SC",North Carolina,South Carolina,35.2107,-80.9457,34.8954,-82.2172
GNV,CLT,"Gainesville, FL","Charlotte, NC",Florida,North Carolina,29.6923,-82.276,35.2107,-80.9457
CLT,MYR,"Charlotte, NC","Myrtle Beach, SC",North Carolina,South Carolina,35.2107,-80.9457,33.6806,-78.9291
CLT,CHS,"Charlotte, NC","Charleston, SC",North Carolina,South Carolina,35.2107,-80.9457,32.9004,-80.0514
CLT,DAB,"Charlotte, NC","Daytona Beach, FL",North Carolina,Florida,35.2107,-80.9457,29.1816,-81.0543
DAB,CLT,"Daytona Beach, FL","Charlotte, NC",Florida,North Carolina,29.1816,-81.0543,35.2107,-80.9457
DCA,LAN,"Washington, DC","Lansing, MI",Virginia,Michigan,38.8513,-77.0397,42.7781,-84.5859
LAN,DCA,"Lansing, MI","Washington, DC",Michigan,Virginia,42.7781,-84.5859,38.8513,-77.0397
CLT,ILM,"Charlotte, NC","Wilmington, NC",North Carolina,North Carolina,35.2107,-80.9457,34.2735,-77.9095
ILM,CLT,"Wilmington, NC","Charlotte, NC",North Carolina,North Carolina,34.2735,-77.9095,35.2107,-80.9457
CLE,PHL,"Cleveland, OH","Philadelphia, PA",Ohio,Pennsylvania,39.0678,-84.1566,39.875,-75.2352
PHL,CLE,"Philadelphia, PA","Cleveland, OH",Pennsylvania,Ohio,39.875,-75.2352,39.0678,-84.1566
PHL,BTV,"Philadelphia, PA","Burlington, VT",Pennsylvania,Vermont,39.875,-75.2352,44.4729,-73.1515
CLT,CRW,"Charlotte, NC","Charleston/Dunbar, WV",North Carolina,West Virginia,35.2107,-80.9457,38.3729,-81.5942
CLT,MDT,"Charlotte, NC","Harrisburg, PA",North Carolina,Pennsylvania,35.2107,-80.9457,40.1932,-76.7529
CLT,EWN,"Charlotte, NC","New Bern/Morehead/Beaufort, NC",North Carolina,North Carolina,35.2107,-80.9457,35.071,-77.0395
EWN,CLT,"New Bern/Morehead/Beaufort, NC","Charlotte, NC",North Carolina,North Carolina,35.071,-77.0395,35.2107,-80.9457
BTV,PHL,"Burlington, VT","Philadelphia, PA",Vermont,Pennsylvania,44.4729,-73.1515,39.875,-75.2352
DCA,CAE,"Washington, DC","Columbia, SC",Virginia,South Carolina,38.8513,-77.0397,33.9389,-81.114
AGS,CLT,"Augusta, GA","Charlotte, NC",Georgia,North Carolina,33.3723,-81.9651,35.2107,-80.9457
DCA,BGR,"Washington, DC","Bangor, ME",Virginia,Maine,38.8513,-77.0397,44.8073,-68.8194
CLT,SGF,"Charlotte, NC","Springfield, MO",North Carolina,Missouri,35.2107,-80.9457,37.243,-93.3889
SGF,CLT,"Springfield, MO","Charlotte, NC",Missouri,North Carolina,37.243,-93.3889,35.2107,-80.9457
LIT,CLT,"Little Rock, AR","Charlotte, NC",Arkansas,North Carolina,34.7311,-92.2246,35.2107,-80.9457
MHT,DCA,"Manchester, NH","Washington, DC",New Hampshire,Virginia,42.9307,-71.4388,38.8513,-77.0397
JAN,DFW,"Jackson/Vicksburg, MS","Dallas/Fort Worth, TX",Mississippi,Texas,32.3121,-90.0768,32.8965,-97.0465
SAF,DFW,"Santa Fe, NM","Dallas/Fort Worth, TX",New Mexico,Texas,35.6183,-106.0878,32.8965,-97.0465
ORD,GSP,"Chicago, IL","Greer, SC",Illinois,South Carolina,41.9783,-87.9092,34.8954,-82.2172
DFW,LRD,"Dallas/Fort Worth, TX","Laredo, TX",Texas,Texas,32.8965,-97.0465,27.5472,-99.4615
